n1,n2,etype
P596934,T839,PT
P596934,T1388,PT
P596935,T119,PT
P596935,T528,PT
P596935,T2493,PT
P596937,T656,PT
P596937,T661,PT
P596937,T856,PT
P596937,T1172,PT
P596937,T5211,PT
P596938,T93,PT
P596938,T119,PT
P596938,T206,PT
P596938,T241,PT
P596938,T512,PT
P596938,T993,PT
P596940,T18,PT
P596940,T38,PT
P596940,T344,PT
P596940,T521,PT
P596940,T718,PT
P596940,T2151,PT
P596940,T2621,PT
P596940,T2702,PT
P596942,T49,PT
P596942,T705,PT
P596942,T859,PT
P596942,T3573,PT
P596943,T81,PT
P596943,T118,PT
P596943,T452,PT
P596943,T461,PT
P596943,T555,PT
P596943,T2555,PT
P596943,T5610,PT
P596944,T460,PT
P596944,T461,PT
P596944,T738,PT
P596946,T204,PT
P596946,T281,PT
P596946,T318,PT
P596946,T344,PT
P596946,T512,PT
P596946,T1075,PT
P596946,T2612,PT
P596946,T2702,PT
P596948,T235,PT
P596948,T236,PT
P596948,T704,PT
P596948,T1133,PT
P596950,T239,PT
P596950,T354,PT
P596950,T401,PT
P596950,T878,PT
P596950,T1109,PT
P596950,T2376,PT
P596951,T425,PT
P596951,T512,PT
P596951,T1962,PT
P596952,T336,PT
P596952,T1005,PT
P596952,T2293,PT
P596953,T1832,PT
P596957,T134,PT
P596957,T512,PT
P596957,T698,PT
P596957,T1301,PT
P596957,T2526,PT
P596960,T81,PT
P596960,T133,PT
P596960,T396,PT
P596960,T560,PT
P596960,T568,PT
P596960,T666,PT
P596960,T723,PT
P596960,T777,PT
P596966,T54,PT
P596966,T149,PT
P596966,T591,PT
P596966,T645,PT
P596966,T1246,PT
P596967,T149,PT
P596967,T150,PT
P596967,T591,PT
P596969,T401,PT
P596969,T461,PT
P596969,T504,PT
P596969,T542,PT
P596969,T590,PT
P596969,T6067,PT
P596970,T310,PT
P596970,T354,PT
P596970,T534,PT
P596970,T600,PT
P596970,T882,PT
P596970,T1001,PT
P596970,T1072,PT
P596970,T1723,PT
P596970,T2148,PT
P596973,T375,PT
P596973,T661,PT
P596973,T675,PT
P596973,T1336,PT
P596973,T3542,PT
P596973,T3835,PT
P596974,T54,PT
P596974,T225,PT
P596974,T458,PT
P596974,T461,PT
P596974,T674,PT
P596974,T1434,PT
P596974,T2717,PT
P596975,T388,PT
P596975,T490,PT
P596975,T529,PT
P596975,T560,PT
P596975,T2154,PT
P596975,T4976,PT
P596976,T121,PT
P596976,T425,PT
P596976,T461,PT
P596976,T700,PT
P596976,T707,PT
P596976,T839,PT
P596976,T1665,PT
P596976,T2315,PT
P596979,T90,PT
P596979,T350,PT
P596979,T471,PT
P596979,T512,PT
P596979,T645,PT
P596979,T3586,PT
P596981,T350,PT
P596981,T524,PT
P596981,T2002,PT
P596981,T3704,PT
P596982,T127,PT
P596983,T760,PT
P596983,T863,PT
P596983,T998,PT
P596983,T1047,PT
P596983,T2333,PT
P596983,T10222,PT
P596984,T25,PT
P596984,T134,PT
P596984,T235,PT
P596984,T251,PT
P596984,T7244,PT
P596988,T38,PT
P596988,T512,PT
P596988,T1123,PT
P596988,T1410,PT
P596989,T119,PT
P596989,T461,PT
P596989,T512,PT
P596989,T791,PT
P596989,T1044,PT
P596989,T1172,PT
P596989,T2489,PT
P596993,T54,PT
P596993,T138,PT
P596993,T190,PT
P596993,T492,PT
P596993,T504,PT
P596993,T577,PT
P596993,T2562,PT
P596993,T10222,PT
P596994,T38,PT
P596994,T335,PT
P596994,T368,PT
P596994,T484,PT
P596994,T486,PT
P596994,T525,PT
P596994,T1041,PT
P596994,T6619,PT
P596995,T54,PT
P596995,T214,PT
P596995,T298,PT
P596995,T525,PT
P596995,T1366,PT
P596995,T1434,PT
P596995,T2134,PT
P596995,T2317,PT
P596995,T6067,PT
P596997,T199,PT
P596997,T358,PT
P596997,T512,PT
P596997,T645,PT
P596997,T6504,PT
P596998,T460,PT
P596998,T461,PT
P596998,T490,PT
P596998,T512,PT
P596998,T645,PT
P596998,T1003,PT
P596999,T134,PT
P596999,T512,PT
P596999,T1138,PT
P597002,T54,PT
P597002,T392,PT
P597002,T490,PT
P597002,T723,PT
P597002,T841,PT
P597003,T77,PT
P597003,T465,PT
P597003,T663,PT
P597003,T744,PT
P597003,T2487,PT
P597005,T490,PT
P597005,T1047,PT
P597005,T1105,PT
P597007,T49,PT
P597007,T133,PT
P597007,T135,PT
P597007,T322,PT
P597007,T458,PT
P597007,T901,PT
P597007,T3395,PT
P597008,T310,PT
P597008,T402,PT
P597008,T1051,PT
P597008,T1455,PT
P597009,T38,PT
P597009,T118,PT
P597009,T135,PT
P597009,T235,PT
P597009,T282,PT
P597011,T103,PT
P597011,T138,PT
P597011,T216,PT
P597011,T298,PT
P597012,T187,PT
P597012,T388,PT
P597012,T503,PT
P597012,T542,PT
P597012,T576,PT
P597012,T942,PT
P597012,T943,PT
P597012,T2376,PT
P597012,T10273,PT
P597013,T187,PT
P597013,T388,PT
P597013,T542,PT
P597013,T576,PT
P597013,T930,PT
P597013,T942,PT
P597013,T943,PT
P597013,T3200,PT
P597014,T54,PT
P597014,T103,PT
P597014,T375,PT
P597014,T443,PT
P597014,T529,PT
P597015,T402,PT
P597015,T452,PT
P597015,T2214,PT
P597016,T108,PT
P597016,T354,PT
P597016,T534,PT
P597016,T847,PT
P597016,T2202,PT
P597016,T2208,PT
P597019,T187,PT
P597019,T622,PT
P597019,T847,PT
P597019,T1107,PT
P597020,T107,PT
P597020,T330,PT
P597020,T425,PT
P597020,T517,PT
P597020,T1041,PT
P597020,T2214,PT
P597021,T305,PT
P597021,T461,PT
P597021,T579,PT
P597021,T605,PT
P597021,T837,PT
P597021,T4495,PT
P597021,T6809,PT
P597024,T155,PT
P597024,T483,PT
P597024,T705,PT
P597024,T3531,PT
P597024,T5013,PT
P597025,T121,PT
P597025,T500,PT
P597025,T1107,PT
P597025,T1708,PT
P597025,T2268,PT
P597025,T6739,PT
P597026,T109,PT
P597026,T443,PT
P597026,T458,PT
P597026,T547,PT
P597026,T560,PT
P597026,T879,PT
P597026,T1105,PT
P597026,T1348,PT
P597027,T204,PT
P597027,T235,PT
P597027,T305,PT
P597027,T563,PT
P597027,T842,PT
P597028,T461,PT
P597028,T657,PT
P597028,T2960,PT
P597029,T461,PT
P597029,T545,PT
P597029,T616,PT
P597030,T358,PT
P597030,T400,PT
P597030,T701,PT
P597030,T988,PT
P597030,T2356,PT
P597030,T2520,PT
P597030,T5014,PT
P597031,T507,PT
P597031,T529,PT
P597031,T590,PT
P597031,T833,PT
P597031,T924,PT
P597031,T988,PT
P597031,T1291,PT
P597032,T165,PT
P597032,T336,PT
P597032,T461,PT
P597032,T521,PT
P597032,T723,PT
P597032,T1388,PT
P597034,T38,PT
P597034,T51,PT
P597034,T282,PT
P597034,T528,PT
P597034,T1363,PT
P597034,T4944,PT
P597034,T5167,PT
P597035,T399,PT
P597035,T512,PT
P597035,T1109,PT
P597035,T1356,PT
P597035,T1804,PT
P597036,T38,PT
P597036,T675,PT
P597036,T706,PT
P597036,T1336,PT
P597036,T3542,PT
P597037,T305,PT
P597037,T344,PT
P597037,T438,PT
P597037,T723,PT
P597037,T839,PT
P597037,T1042,PT
P597040,T51,PT
P597040,T358,PT
P597041,T560,PT
P597041,T570,PT
P597041,T648,PT
P597043,T90,PT
P597043,T375,PT
P597043,T529,PT
P597043,T848,PT
P597043,T1008,PT
P597043,T1042,PT
P597043,T3432,PT
P597049,T678,PT
P597049,T864,PT
P597049,T916,PT
P597049,T1083,PT
P597049,T1245,PT
P597049,T6740,PT
P597050,T39,PT
P597050,T165,PT
P597050,T193,PT
P597050,T271,PT
P597050,T558,PT
P597050,T663,PT
P597050,T943,PT
P597050,T2191,PT
P597051,T318,PT
P597051,T542,PT
P597051,T742,PT
P597052,T134,PT
P597052,T461,PT
P597052,T512,PT
P597052,T580,PT
P597052,T723,PT
P597052,T2471,PT
P597052,T4264,PT
P597052,T7509,PT
P597052,T7802,PT
P597053,T2327,PT
P597053,T7509,PT
P597055,T600,PT
P597055,T1245,PT
P597055,T4573,PT
P597055,T6632,PT
P597056,T216,PT
P597056,T437,PT
P597056,T460,PT
P597056,T461,PT
P597056,T968,PT
P597056,T4983,PT
P597059,T147,PT
P597059,T246,PT
P597059,T344,PT
P597059,T375,PT
P597059,T464,PT
P597059,T522,PT
P597059,T606,PT
P597059,T675,PT
P597059,T5013,PT
P597060,T147,PT
P597060,T320,PT
P597060,T396,PT
P597060,T437,PT
P597060,T582,PT
P597060,T991,PT
P597060,T2126,PT
P597061,T109,PT
P597061,T461,PT
P597061,T875,PT
P597066,T54,PT
P597066,T281,PT
P597066,T282,PT
P597066,T558,PT
P597066,T704,PT
P597067,T41,PT
P597067,T42,PT
P597067,T250,PT
P597067,T280,PT
P597067,T282,PT
P597067,T512,PT
P597067,T704,PT
P597067,T1385,PT
P597068,T41,PT
P597068,T281,PT
P597068,T375,PT
P597068,T512,PT
P597068,T878,PT
P597068,T1504,PT
P597068,T2812,PT
P597068,T2838,PT
P597073,T920,PT
P597073,T2151,PT
P597073,T3610,PT
P597073,T4469,PT
P597074,T81,PT
P597074,T121,PT
P597074,T305,PT
P597074,T310,PT
P597074,T461,PT
P597074,T474,PT
P597074,T475,PT
P597074,T560,PT
P597074,T6689,PT
P597075,T512,PT
P597075,T920,PT
P597075,T1350,PT
P597076,T193,PT
P597076,T560,PT
P597076,T1656,PT
P597076,T2191,PT
P597076,T3525,PT
P597077,T38,PT
P597077,T39,PT
P597077,T193,PT
P597077,T1656,PT
P597077,T2191,PT
P597080,T84,PT
P597080,T165,PT
P597080,T307,PT
P597080,T461,PT
P597081,T54,PT
P597081,T235,PT
P597081,T282,PT
P597081,T468,PT
P597081,T492,PT
P597088,T256,PT
P597088,T425,PT
P597088,T6740,PT
P597092,T134,PT
P597092,T461,PT
P597092,T521,PT
P597092,T839,PT
P597092,T3674,PT
P597093,T106,PT
P597093,T235,PT
P597093,T495,PT
P597093,T1282,PT
P597093,T2603,PT
P597094,T54,PT
P597094,T251,PT
P597094,T338,PT
P597094,T354,PT
P597095,T135,PT
P597098,T46,PT
P597098,T661,PT
P597098,T3306,PT
P597100,T138,PT
P597100,T638,PT
P597100,T859,PT
P597100,T1792,PT
P597100,T2204,PT
P597100,T5007,PT
P597102,T623,PT
P597102,T909,PT
P597102,T1509,PT
P597102,T5417,PT
P597102,T6356,PT
P597105,T42,PT
P597105,T187,PT
P597105,T358,PT
P597105,T512,PT
P597105,T1538,PT
P597106,T134,PT
P597106,T235,PT
P597106,T334,PT
P597106,T461,PT
P597106,T495,PT
P597106,T1153,PT
P597107,T388,PT
P597107,T461,PT
P597107,T2723,PT
P597107,T2725,PT
P597107,T5008,PT
P597107,T6632,PT
P597109,T481,PT
P597109,T522,PT
P597109,T529,PT
P597109,T542,PT
P597109,T889,PT
P597109,T1273,PT
P597110,T121,PT
P597110,T490,PT
P597110,T560,PT
P597110,T942,PT
P597110,T943,PT
P597110,T4557,PT
P597110,T5237,PT
P597113,T110,PT
P597113,T375,PT
P597113,T512,PT
P597113,T1695,PT
P597113,T2436,PT
P597113,T6727,PT
P597117,T358,PT
P597117,T605,PT
P597117,T1434,PT
P597117,T2274,PT
P597118,T134,PT
P597118,T512,PT
P597118,T2382,PT
P597118,T4006,PT
P597118,T4123,PT
P597119,T54,PT
P597119,T251,PT
P597119,T305,PT
P597119,T2769,PT
P597120,T61,PT
P597120,T106,PT
P597120,T401,PT
P597120,T512,PT
P597120,T2334,PT
P597120,T4072,PT
P597120,T8204,PT
P597121,T106,PT
P597121,T512,PT
P597121,T2102,PT
P597121,T2926,PT
P597121,T3056,PT
P597121,T4072,PT
P597121,T8204,PT
P597124,T452,PT
P597124,T461,PT
P597124,T475,PT
P597124,T580,PT
P597124,T723,PT
P597124,T1122,PT
P597124,T1147,PT
P597126,T125,PT
P597126,T228,PT
P597126,T357,PT
P597126,T358,PT
P597126,T461,PT
P597126,T776,PT
P597126,T986,PT
P597127,T93,PT
P597127,T177,PT
P597127,T512,PT
P597128,T51,PT
P597128,T54,PT
P597128,T138,PT
P597128,T350,PT
P597128,T576,PT
P597130,T134,PT
P597130,T190,PT
P597130,T199,PT
P597130,T239,PT
P597130,T305,PT
P597130,T512,PT
P597130,T576,PT
P597130,T645,PT
P597130,T2417,PT
P597131,T358,PT
P597131,T452,PT
P597131,T541,PT
P597131,T792,PT
P597131,T899,PT
P597131,T928,PT
P597132,T358,PT
P597132,T461,PT
P597132,T512,PT
P597132,T547,PT
P597132,T933,PT
P597132,T10223,PT
P597133,T192,PT
P597133,T1669,PT
P597133,T2244,PT
P597133,T2356,PT
P597133,T2692,PT
P597133,T4072,PT
P597133,T6796,PT
P597134,T235,PT
P597134,T305,PT
P597134,T358,PT
P597134,T2129,PT
P597134,T4382,PT
P597138,T54,PT
P597138,T177,PT
P597138,T1122,PT
P597138,T2524,PT
P597139,T38,PT
P597139,T39,PT
P597139,T375,PT
P597139,T529,PT
P597139,T1017,PT
P597139,T1834,PT
P597141,T25,PT
P597141,T118,PT
P597141,T461,PT
P597141,T701,PT
P597141,T723,PT
P597142,T21,PT
P597142,T134,PT
P597142,T252,PT
P597142,T461,PT
P597142,T723,PT
P597142,T781,PT
P597142,T1113,PT
P597142,T1531,PT
P597142,T2102,PT
P597143,T375,PT
P597143,T901,PT
P597143,T1737,PT
P597143,T9703,PT
P597144,T134,PT
P597144,T313,PT
P597144,T512,PT
P597144,T859,PT
P597144,T952,PT
P597144,T1454,PT
P597147,T15,PT
P597147,T91,PT
P597147,T235,PT
P597147,T358,PT
P597147,T461,PT
P597147,T808,PT
P597147,T1011,PT
P597147,T1024,PT
P597147,T2701,PT
P597147,T4403,PT
P597148,T336,PT
P597148,T461,PT
P597148,T808,PT
P597148,T4377,PT
P597148,T4887,PT
P597148,T7797,PT
P597149,T38,PT
P597149,T116,PT
P597149,T388,PT
P597149,T596,PT
P597149,T920,PT
P597149,T2382,PT
P597149,T2506,PT
P597149,T6903,PT
P597153,T40,PT
P597153,T298,PT
P597153,T461,PT
P597153,T644,PT
P597153,T723,PT
P597153,T1527,PT
P597153,T1528,PT
P597157,T281,PT
P597157,T3081,PT
P597158,T121,PT
P597158,T461,PT
P597158,T11322,PT
P597160,T54,PT
P597160,T90,PT
P597160,T471,PT
P597160,T528,PT
P597160,T534,PT
P597160,T2393,PT
P597160,T2752,PT
P597161,T54,PT
P597161,T5014,PT
P597162,T334,PT
P597162,T375,PT
P597162,T901,PT
P597162,T1312,PT
P597162,T2531,PT
P597162,T2755,PT
P597163,T121,PT
P597163,T200,PT
P597163,T524,PT
P597163,T837,PT
P597163,T1428,PT
P597164,T51,PT
P597164,T155,PT
P597164,T358,PT
P597164,T653,PT
P597164,T3674,PT
P597165,T90,PT
P597165,T121,PT
P597165,T190,PT
P597165,T358,PT
P597165,T645,PT
P597165,T752,PT
P597165,T837,PT
P597165,T998,PT
P597165,T6739,PT
P597165,T7260,PT
P597166,T97,PT
P597166,T235,PT
P597166,T305,PT
P597166,T856,PT
P597166,T1051,PT
P597166,T1098,PT
P597166,T1481,PT
P597166,T2702,PT
P597171,T84,PT
P597171,T128,PT
P597171,T180,PT
P597171,T375,PT
P597171,T452,PT
P597171,T461,PT
P597171,T847,PT
P597171,T2089,PT
P597171,T2393,PT
P597173,T223,PT
P597173,T645,PT
P597173,T1571,PT
P597173,T1966,PT
P597173,T2001,PT
P597173,T2362,PT
P597173,T2645,PT
P597174,T50,PT
P597174,T81,PT
P597174,T109,PT
P597174,T461,PT
P597174,T672,PT
P597174,T808,PT
P597174,T904,PT
P597174,T4887,PT
P597174,T5917,PT
P597174,T8968,PT
P597175,T512,PT
P597175,T523,PT
P597175,T1053,PT
P597175,T2417,PT
P597176,T235,PT
P597176,T388,PT
P597176,T425,PT
P597176,T631,PT
P597176,T651,PT
P597176,T685,PT
P597176,T700,PT
P597176,T920,PT
P597177,T190,PT
P597177,T225,PT
P597177,T354,PT
P597177,T452,PT
P597177,T461,PT
P597177,T585,PT
P597177,T587,PT
P597177,T1057,PT
P597177,T1463,PT
P597177,T2202,PT
P597177,T2693,PT
P597178,T81,PT
P597178,T103,PT
P597178,T402,PT
P597178,T458,PT
P597178,T542,PT
P597178,T577,PT
P597178,T706,PT
P597178,T6143,PT
P597179,T81,PT
P597179,T187,PT
P597179,T216,PT
P597179,T225,PT
P597179,T598,PT
P597179,T674,PT
P597179,T1105,PT
P597179,T1613,PT
P597179,T2324,PT
P597184,T47,PT
P597184,T51,PT
P597184,T2776,PT
P597189,T12,PT
P597189,T358,PT
P597189,T792,PT
P597189,T1122,PT
P597189,T1137,PT
P597190,T54,PT
P597190,T176,PT
P597190,T310,PT
P597190,T375,PT
P597190,T2391,PT
P597190,T6309,PT
P597192,T81,PT
P597192,T235,PT
P597192,T355,PT
P597192,T512,PT
P597192,T1094,PT
P597192,T1245,PT
P597192,T3358,PT
P597193,T461,PT
P597193,T763,PT
P597193,T863,PT
P597193,T2356,PT
P597198,T355,PT
P597198,T2526,PT
P597199,T81,PT
P597199,T153,PT
P597199,T294,PT
P597199,T651,PT
P597199,T797,PT
P597199,T2025,PT
P597199,T3282,PT
P597204,T427,PT
P597204,T461,PT
P597204,T484,PT
P597204,T763,PT
P597204,T2463,PT
P597205,T512,PT
P597205,T2461,PT
P597205,T3704,PT
P597205,T4968,PT
P597208,T38,PT
P597208,T57,PT
P597208,T305,PT
P597208,T401,PT
P597208,T475,PT
P597208,T512,PT
P597208,T1201,PT
P597208,T1998,PT
P597216,T305,PT
P597216,T460,PT
P597216,T461,PT
P597216,T742,PT
P597217,T252,PT
P597217,T2102,PT
P597217,T2691,PT
P597225,T336,PT
P597225,T1017,PT
P597225,T1122,PT
P597225,T1421,PT
P597225,T2611,PT
P597228,T282,PT
P597228,T509,PT
P597228,T512,PT
P597228,T542,PT
P597228,T560,PT
P597228,T2393,PT
P597228,T2702,PT
P597228,T5661,PT
P597229,T6,PT
P597229,T103,PT
P597229,T199,PT
P597229,T425,PT
P597229,T560,PT
P597229,T576,PT
P597229,T878,PT
P597230,T57,PT
P597230,T103,PT
P597230,T134,PT
P597230,T187,PT
P597230,T388,PT
P597230,T461,PT
P597230,T560,PT
P597230,T576,PT
P597230,T839,PT
P597231,T600,PT
P597231,T623,PT
P597231,T926,PT
P597231,T1623,PT
P597234,T54,PT
P597234,T233,PT
P597234,T458,PT
P597234,T560,PT
P597234,T577,PT
P597234,T723,PT
P597234,T1147,PT
P597234,T6617,PT
P597237,T534,PT
P597237,T635,PT
P597237,T1245,PT
P597238,T251,PT
P597238,T334,PT
P597238,T461,PT
P597238,T2833,PT
P597238,T3586,PT
P597238,T10271,PT
P597239,T118,PT
P597239,T235,PT
P597239,T460,PT
P597239,T2461,PT
P597239,T4968,PT
P597240,T134,PT
P597240,T451,PT
P597240,T512,PT
P597240,T1988,PT
P597240,T3099,PT
P597241,T93,PT
P597241,T119,PT
P597241,T187,PT
P597241,T190,PT
P597241,T225,PT
P597241,T598,PT
P597242,T6,PT
P597242,T150,PT
P597242,T576,PT
P597242,T863,PT
P597243,T134,PT
P597243,T206,PT
P597243,T837,PT
P597243,T930,PT
P597243,T2387,PT
P597243,T3343,PT
P597243,T6903,PT
P597247,T312,PT
P597247,T557,PT
P597247,T656,PT
P597247,T707,PT
P597247,T722,PT
P597247,T953,PT
P597247,T4418,PT
P597248,T54,PT
P597248,T90,PT
P597248,T282,PT
P597248,T471,PT
P597248,T647,PT
P597248,T1504,PT
P597253,T81,PT
P597253,T121,PT
P597253,T358,PT
P597253,T401,PT
P597253,T461,PT
P597253,T833,PT
P597253,T839,PT
P597253,T1240,PT
P597253,T1884,PT
P597254,T103,PT
P597254,T150,PT
P597254,T461,PT
P597254,T545,PT
P597254,T1278,PT
P597254,T1790,PT
P597254,T2519,PT
P597254,T4929,PT
P597255,T54,PT
P597255,T310,PT
P597255,T398,PT
P597255,T474,PT
P597255,T521,PT
P597255,T522,PT
P597255,T760,PT
P597255,T890,PT
P597256,T155,PT
P597256,T225,PT
P597256,T298,PT
P597256,T452,PT
P597256,T461,PT
P597256,T522,PT
P597256,T577,PT
P597256,T674,PT
P597256,T909,PT
P597257,T452,PT
P597257,T461,PT
P597257,T522,PT
P597257,T928,PT
P597257,T2229,PT
P597258,T236,PT
P597258,T282,PT
P597258,T461,PT
P597258,T560,PT
P597258,T2208,PT
P597258,T7776,PT
P597259,T119,PT
P597259,T461,PT
P597259,T578,PT
P597259,T648,PT
P597259,T715,PT
P597259,T923,PT
P597259,T1041,PT
P597260,T119,PT
P597260,T214,PT
P597260,T461,PT
P597260,T6062,PT
P597260,T7463,PT
P597261,T65,PT
P597261,T109,PT
P597261,T417,PT
P597261,T565,PT
P597261,T938,PT
P597261,T1290,PT
P597262,T54,PT
P597262,T138,PT
P597262,T460,PT
P597262,T570,PT
P597262,T645,PT
P597262,T1761,PT
P597262,T3063,PT
P597263,T138,PT
P597263,T460,PT
P597263,T461,PT
P597263,T528,PT
P597263,T645,PT
P597264,T460,PT
P597264,T461,PT
P597264,T570,PT
P597264,T645,PT
P597264,T2484,PT
P597264,T6760,PT
P597265,T310,PT
P597265,T475,PT
P597265,T779,PT
P597265,T1016,PT
P597265,T2678,PT
P597265,T4602,PT
P597266,T334,PT
P597266,T542,PT
P597266,T560,PT
P597266,T722,PT
P597266,T1312,PT
P597267,T103,PT
P597267,T542,PT
P597267,T4944,PT
P597268,T402,PT
P597268,T461,PT
P597268,T2282,PT
P597268,T5735,PT
P597269,T51,PT
P597269,T121,PT
P597269,T482,PT
P597269,T1509,PT
P597270,T461,PT
P597270,T776,PT
P597272,T480,PT
P597272,T512,PT
P597272,T797,PT
P597272,T878,PT
P597272,T1358,PT
P597272,T1868,PT
P597275,T106,PT
P597275,T1033,PT
P597275,T1241,PT
P597275,T3991,PT
P597276,T134,PT
P597276,T174,PT
P597276,T512,PT
P597276,T818,PT
P597276,T1336,PT
P597277,T7427,PT
P597278,T107,PT
P597278,T2089,PT
P597278,T3162,PT
P597278,T4072,PT
P597278,T7427,PT
P597279,T54,PT
P597279,T67,PT
P597279,T103,PT
P597279,T190,PT
P597279,T226,PT
P597279,T282,PT
P597279,T723,PT
P597281,T190,PT
P597281,T661,PT
P597281,T675,PT
P597281,T1454,PT
P597281,T6625,PT
P597287,T38,PT
P597287,T114,PT
P597287,T190,PT
P597287,T225,PT
P597287,T282,PT
P597287,T461,PT
P597288,T236,PT
P597288,T585,PT
P597288,T2941,PT
P597289,T12,PT
P597289,T15,PT
P597289,T91,PT
P597289,T155,PT
P597289,T805,PT
P597289,T1122,PT
P597289,T2184,PT
P597289,T6169,PT
P597290,T109,PT
P597290,T180,PT
P597290,T1642,PT
P597290,T1832,PT
P597290,T3673,PT
P597291,T2,PT
P597291,T512,PT
P597291,T542,PT
P597291,T634,PT
P597291,T986,PT
P597291,T1508,PT
P597291,T2001,PT
P597291,T4961,PT
P597292,T9,PT
P597292,T54,PT
P597292,T173,PT
P597292,T2293,PT
P597293,T199,PT
P597293,T461,PT
P597293,T707,PT
P597293,T839,PT
P597294,T305,PT
P597294,T461,PT
P597294,T943,PT
P597295,T54,PT
P597295,T805,PT
P597296,T519,PT
P597296,T527,PT
P597296,T863,PT
P597296,T898,PT
P597296,T1972,PT
P597297,T147,PT
P597297,T400,PT
P597297,T475,PT
P597297,T863,PT
P597297,T3502,PT
P597297,T5014,PT
P597298,T235,PT
P597298,T238,PT
P597298,T1385,PT
P597298,T2487,PT
P597298,T2718,PT
P597300,T81,PT
P597300,T121,PT
P597300,T425,PT
P597300,T512,PT
P597300,T644,PT
P597300,T4639,PT
P597304,T452,PT
P597304,T685,PT
P597304,T878,PT
P597304,T928,PT
P597304,T1216,PT
P597306,T134,PT
P597306,T512,PT
P597306,T1122,PT
P597307,T204,PT
P597307,T479,PT
P597307,T645,PT
P597307,T674,PT
P597307,T748,PT
P597307,T1017,PT
P597307,T1057,PT
P597307,T1122,PT
P597309,T235,PT
P597309,T338,PT
P597309,T358,PT
P597309,T942,PT
P597309,T943,PT
P597309,T3322,PT
P597312,T500,PT
P597312,T1085,PT
P597312,T5468,PT
P597312,T6726,PT
P597312,T7776,PT
P597313,T108,PT
P597313,T560,PT
P597313,T928,PT
P597313,T1502,PT
P597313,T2246,PT
P597314,T527,PT
P597314,T1336,PT
P597314,T2522,PT
P597314,T4031,PT
P597315,T103,PT
P597315,T134,PT
P597315,T174,PT
P597315,T468,PT
P597315,T803,PT
P597315,T4508,PT
P597316,T38,PT
P597316,T81,PT
P597316,T103,PT
P597316,T468,PT
P597316,T561,PT
P597316,T577,PT
P597316,T803,PT
P597316,T4165,PT
P597317,T109,PT
P597317,T228,PT
P597317,T235,PT
P597317,T241,PT
P597317,T344,PT
P597317,T656,PT
P597317,T1032,PT
P597317,T1736,PT
P597317,T2422,PT
P597317,T5105,PT
P597318,T107,PT
P597318,T546,PT
P597318,T1809,PT
P597318,T6809,PT
P597319,T559,PT
P597319,T635,PT
P597320,T87,PT
P597320,T2235,PT
P597320,T2274,PT
P597320,T3079,PT
P597326,T121,PT
P597326,T256,PT
P597326,T645,PT
P597326,T959,PT
P597329,T235,PT
P597329,T249,PT
P597329,T358,PT
P597329,T461,PT
P597329,T779,PT
P597329,T795,PT
P597329,T11324,PT
P597332,T2118,PT
P597332,T6321,PT
P597333,T251,PT
P597333,T305,PT
P597333,T512,PT
P597333,T774,PT
P597333,T1988,PT
P597333,T3515,PT
P597335,T251,PT
P597335,T425,PT
P597335,T512,PT
P597335,T1428,PT
P597336,T134,PT
P597336,T178,PT
P597336,T233,PT
P597336,T336,PT
P597336,T512,PT
P597336,T645,PT
P597336,T768,PT
P597336,T838,PT
P597338,T358,PT
P597338,T375,PT
P597338,T460,PT
P597338,T544,PT
P597338,T585,PT
P597341,T656,PT
P597341,T781,PT
P597341,T1017,PT
P597341,T1120,PT
P597341,T7777,PT
P597343,T54,PT
P597343,T90,PT
P597343,T187,PT
P597343,T216,PT
P597343,T471,PT
P597343,T560,PT
P597343,T598,PT
P597346,T325,PT
P597346,T344,PT
P597346,T483,PT
P597346,T598,PT
P597346,T1792,PT
P597346,T2430,PT
P597346,T7509,PT
P597350,T81,PT
P597350,T528,PT
P597350,T542,PT
P597350,T589,PT
P597350,T590,PT
P597351,T109,PT
P597351,T180,PT
P597351,T375,PT
P597351,T661,PT
P597353,T176,PT
P597353,T194,PT
P597353,T310,PT
P597353,T909,PT
P597353,T2213,PT
P597353,T2214,PT
P597354,T54,PT
P597354,T108,PT
P597354,T1107,PT
P597354,T2133,PT
P597354,T2347,PT
P597355,T476,PT
P597355,T512,PT
P597355,T715,PT
P597357,T465,PT
P597357,T527,PT
P597357,T528,PT
P597357,T663,PT
P597359,T542,PT
P597359,T596,PT
P597359,T675,PT
P597359,T2270,PT
P597359,T2820,PT
P597360,T542,PT
P597360,T909,PT
P597360,T1128,PT
P597362,T2,PT
P597362,T228,PT
P597362,T305,PT
P597362,T461,PT
P597362,T838,PT
P597362,T839,PT
P597364,T12,PT
P597364,T520,PT
P597364,T2461,PT
P597369,T54,PT
P597369,T560,PT
P597369,T723,PT
P597369,T805,PT
P597369,T1736,PT
P597370,T358,PT
P597370,T425,PT
P597370,T475,PT
P597370,T11322,PT
P597371,T471,PT
P597371,T1017,PT
P597371,T1626,PT
P597371,T6548,PT
P597371,T6897,PT
P597372,T1017,PT
P597372,T2102,PT
P597372,T2289,PT
P597373,T155,PT
P597373,T206,PT
P597373,T305,PT
P597373,T461,PT
P597373,T805,PT
P597373,T899,PT
P597373,T1024,PT
P597373,T6822,PT
P597374,T1884,PT
P597374,T2002,PT
P597375,T425,PT
P597376,T41,PT
P597376,T281,PT
P597376,T461,PT
P597376,T523,PT
P597376,T1210,PT
